Konu Baþlýklarý;Test Girdileri;Sonuçlar;F1 Etiketleri;;;;;
Hangi gruplar sahte haberlerin yayýlmasýnda daha savunmasýzdýr?;Yaþlýlar ve dijital okuryazarlýðý düþük olan gruplar, yanlýþ bilgilere karþý daha savunmasýzdýr.;Baþarýsýz;FN;;;;;
;Yanlýþ bilgiler, seçim sonuçlarýný etkileyebilir ve siyasi istikrarsýzlýða yol açabilir.;Baþarýlý;TN;;;;;
Ýstanbul'daki tarihi yalýlarýn mimari özellikleri nelerdir?;Boðaz'daki bu yapýlar, genellikle Osmanlý ve batý mimarisinin bir karýþýmýný yansýtýr.;Baþarýlý;TP;;;;;
Hangi yalýlar Boðaz'da en çok dikkat çeker?;Zeki Paþa Yalýsý, 550 milyon TL'lik deðeriyle Boðaz'ýn en gözde yalýsý konumunda yer almaktadýr.;Baþarýlý;TP;;;;;
Ýstanbul yalýlarýnýn tarihçesi nasýl þekillenmiþtir?;18 ve 19. yüzyýllarda inþa edilen yalýlar, Osmanlý dönemi mimarisinin zarif ve etkileyici örneklerini yansýtýr.;Baþarýlý;TP;;;;;
Hangi ünlü yazarlar ve sanatçýlar Ýstanbul yalýlarýnda yaþamýþtýr?;Modern Türk öykücülüðünün öncülerinden Sait Faik Abasýyanýk, Ýstanbul'da bir yalýda yaþamýþ ve birçok hikayesini burada yazmýþtýr. Yazarýn Boðaz'a olan sevgisi, eserlerinde sýkça görülür.;Baþarýlý;TP;;;;;
Yalýlarýn restorasyon süreçleri nasýl yönetilmektedir?;Yenileme projeleri, yapýnýn orijinal detaylarýný koruyarak modern ihtiyaçlara uygun hale getirir.;Baþarýlý;TP;;;;;
Ýstanbul yalýlarýnýn kültürel ve sosyal önemi nedir?;Turistlerin yoðun ilgisini çeken bu yapýlar, rehberli turlar aracýlýðýyla ziyaretçilere tanýtýlýr.;Baþarýsýz;FN;;;;;
Ýstanbul yalýlarý hangi filmlerde ve dizilerde kullanýlmýþtýr?;Sarýyer'deki Ahmet Afif Paþa Yalýsýnda Aþk-ý Memnu dizisi çekilmiþtir.;Baþarýlý;TP;;;;;
Yalýlarýn bahçeleri ve çevre düzenlemeleri nasýldýr?;Yeþil alanlar, özenle düzenlenmiþ bitki örtüsü ve peyzajlarýyla dikkat çekmektedir.;Baþarýsýz;FN;;;;;
Ýstanbul yalýlarý, þehrin turizmine nasýl katký saðlar?;Ýstanbul yalýlarý, tarihi ve kültürel zenginlikleriyle turistlerin ilgisini çekerek þehrin turizmine önemli katký saðlar. Bu eþsiz yapýlar, Boðaz'ýn güzelliklerini keþfetmek isteyen ziyaretçiler için çekim noktasý oluþturur ve Ýstanbul'un tarihi dokusunu deneyimleme fýrsatý sunar.;Baþarýlý;TP;;;;;
;Boðaz'daki yalýlarýn bazýlarý özel etkinlikler ve düðünler için kiralanabilir.;Baþarýlý;TN;;;;;
Blockchain teknolojisi nedir ve nasýl çalýþýr?;Blok zinciri, verilerin þifrelenmiþ bir þekilde halkalar olarak saklandýðý daðýtýk bir defter teknolojisidir.;Baþarýlý;TP;;;;;
Kripto paralar nasýl üretilir ve iþlenir?;Dijital paralar, matematiksel algoritmalar kullanýlarak sanal olarak oluþturulur. ;Baþarýlý;TP;;;;;
Blockchain teknolojisinin farklý sektörlerdeki uygulamalarý nelerdir?;Merkeziyetsiz finans, aracýlarý ortadan kaldýrarak finansal hizmetlerin doðrudan kullanýcýlar arasýnda gerçekleþtirilmesini saðlar.;Baþarýlý;TP;;;;;
Blockchain ve kripto paralarýn avantajlarý ve dezavantajlarý nelerdir?;Dijital varlýklar, düþük iþlem maliyetleri ve hýzlý transfer süreleri sunar.;Baþarýsýz;FN;;;;;
Blockchain'in veri güvenliði üzerindeki etkisi nedir?;Her bir veri bloðu, önceki bloða baðlý olduðundan, verilerin deðiþtirilmesi veya silinmesi neredeyse imkansýz hale gelir.;Baþarýsýz;FN;;;;;
Kripto para madenciliði nedir ve nasýl yapýlýr?;Kripto madenciliði, karmaþýk matematiksel problemleri çözerek yeni dijital paralar üretme sürecidir.;Baþarýlý;TP;;;;;
ICO (Initial Coin Offering) nedir ve nasýl çalýþýr?;Ýlk dijital para arzý, yeni kripto paralarýn piyasaya sürülmesi için kullanýlan bir fon toplama yöntemidir.;Baþarýlý;TP;;;;;
Kripto para borsalarý nasýl çalýþýr?;Dijital varlýklar, geleneksel finansal sistemlere alternatif olarak hýzla popülerlik kazanýyor.;Baþarýlý;TP;;;;;
Merkezsiz finans (DeFi) nedir ve nasýl çalýþýr?;DeFi platformlarý, blockchain teknolojisi kullanarak finansal iþlemleri güvenli ve þeffaf bir þekilde gerçekleþtirir.;Baþarýlý;TP;;;;;
;Sanal varlýklar, yatýrýmcýlar için büyük kazanç fýrsatlarý sunar.;Baþarýsýz;FP;;;;;
Seyahat sigortasý neden gereklidir ve hangi durumlarda en faydalýdýr?;Beklenmedik olaylar karþýsýnda maddi güvence saðlayarak hastalýk, kaza veya iptaller gibi durumlarda, yolcularýn karþýlaþtýklarý zorluklarý hafifletebilir.;Baþarýlý;TP;;;;;
Gezi planlamasýnda en önemli faktörler nelerdir?;Bir seyahatin verimli ve sorunsuz geçmesi için bütçenin dikkatli bir þekilde belirlenmesi, konaklama yerlerinin önceden ayarlanmasý ve gidilecek yerin hava durumu hakkýnda bilgi sahibi olunmasý gereklidir.;Baþarýlý;TP;;;;;
Farklý ulaþým yöntemlerinin  avantajlarý ve dezavantajlarý nelerdir?;Uçakla yolculuk hýzlý ve uzun mesafeler için idealdir, ancak maliyetli olabilir.;Baþarýlý;TP;;;;;
Turistlerin gezi sýrasýnda yerel kültüre saygý göstermeleri neden önemlidir?;Yabancý bir bölgeyi ziyaret eden kiþilerin orada yaþayan insanlarýn geleneklerine ve yaþam tarzýna uyum göstermeleri, toplumsal uyumu ve karþýlýklý saygýyý pekiþtirir.;Baþarýlý;TP;;;;;
Ekoturizm nedir ve neden önemlidir?;Doðal alanlarý koruyarak ve yerel halkýn refahýný gözeterek gerçekleþtirilen seyahatler, doðal kaynaklarýn sürdürülebilir kullanýmýný destekler.;Baþarýsýz;FN;;;;;
Gezi sýrasýnda güvenlik ve saðlýk önlemleri nelerdir?;Yolculuk yaparken seyahat eden kiþilerin yanlarýnda temel ilk yardým malzemeleri bulundurmalarý, hijyen kurallarýna dikkat etmeleri ve olasý tehlikelere karþý tedbirli olmalarý gereklidir.;Baþarýsýz;FN;;;;;
Sürdürülebilir turizm nasýl teþvik edilebilir?;Seyahat uygulamalarýnýn yaygýnlaþtýrýlmasý, yerel halkla iþ birliði yapýlmasý ve doðaya zarar vermeyen turistik faaliyetlerin desteklenmesi ile mümkündür.;Baþarýsýz;FN;;;;;
Popüler turistik destinasyonlarýn ekonomik ve sosyal etkileri nelerdir?;Turistik bölgeler, ekonomik olarak yerel halk için gelir kaynaðý oluþturur ve istihdamý artýrýr.;Baþarýsýz;FN;;;;;
Teknolojinin gezi deneyimleri üzerindeki etkileri nelerdir?;Geliþmiþ dijital araçlar, seyahat düzenlemelerini ve yön bulmayý basitleþtirir, internet platformlarý ise deneyimlerin paylaþýmýný mümkün kýlar. Ancak, sürekli baðlantýda olmak, aný yaþama fýrsatýný azaltabilir.;Baþarýlý;TP;;;;;
;Yeni yerler keþfetmek, farklý kültürleri tanýmak ve ufkumuzu geniþletmek için harika bir yoldur.;Baþarýlý;TN;;;;;
Bireylerin kendilerini geliþtirmesi neden önemlidir?;Kiþisel ilerleme, bireylerin daha iyi fýrsatlar elde etmelerine ve daha tatmin edici bir yaþam sürmelerine yardýmcý olur.;Baþarýlý;TP;;;;;
Ýþ dünyasýnda baþarýlý olmak için hangi yetenekler öne çýkar?;Ýþ hayatýnda etkili olmak için iletiþim becerileri, yaratýcý düþünme ve problem çözme yetenekleri önemlidir.;Baþarýlý;TP;;;;;
Zamaný etkili bir þekilde nasýl yönetebiliriz?;Etkili zaman kullanýmý, planlama yaparak, öncelikleri belirleyerek ve dikkat daðýnýklýðýný azaltarak mümkün olur.;Baþarýlý;TP;;;;;
Kariyer planlamasý yaparken nelere dikkat edilmelidir?;Kariyer yolunu belirlerken kiþisel ilgi ve güçlü yönler dikkate alýnmalý, uzun vadeli hedefler oluþturulmalý ve bu hedeflere ulaþmak için bir strateji geliþtirilmelidir.;Baþarýsýz;FN;;;;;
Ýþ yerindeki baský ile baþa çýkmanýn yollarý nelerdir?;Ýþ yerindeki zorluklarla baþa çýkmak için stres yönetimi tekniklerini kullanmak, saðlýklý alýþkanlýklar geliþtirmek ve gerektiðinde destek aramak yardýmcý olabilir.;Baþarýsýz;FN;;;;;
Kiþisel motivasyonu artýrmak için ne tür yöntemler kullanýlabilir?;Kiþisel hedefler belirlemek, baþarýlarý kutlamak ve pozitif düþünme teknikleri kullanmak motivasyonu artýrabilir.;Baþarýlý;TP;;;;;
Profesyonel iliþkileri geliþtirmek neden önemlidir?;Ýliþkiler, kariyer geliþimini destekler ve iþ dünyasýnda ilerlemeyi saðlar.;Baþarýlý;TP;;;;;
Bir yöneticinin sahip olmasý gereken temel nitelikler nelerdir?;Ekip üyelerini yönlendirme, sorunlarý çözme ve stratejik düþünme becerilerine sahip olmalýdýr.;Baþarýsýz;FN;;;;;
Eðitim ve deneyim arasýndaki denge nasýl kurulabilir?;Teorik bilgiyi uygulama fýrsatlarý yaratmak, gerçek dünya deneyimlerinden öðrenilenleri eðitimle birleþtirmek etkili bir yöntemdir.;Baþarýlý;TP;;;;;
;Bir kiþinin yaþamýndaki denge, saðlýklý alýþkanlýklar ve olumlu düþünme tarzý ile büyük ölçüde etkilenir.;Baþarýlý;TN;;;;;
Yaratýcýlýðý geliþtirmek için hangi yöntemler etkili olabilir?;Yenilikçi fikirler üretmek için farklý düþünme teknikleri ve çeþitli bilgi kaynaklarý kullanmak faydalý olabilir.;Baþarýlý;TP;;;;;
Ýþ yerlerinde yenilikçi yaklaþýmlarýn önemi nedir?;Ýþ süreçlerini güncel tutmak ve rekabet avantajý saðlamak için mevcut yöntemlerden farklý yollar denemek önemlidir.;Baþarýsýz;FN;;;;;
Yaratýcý düþünme nasýl teþvik edilebilir?;Yeni deneyimlere açýk olmak ve alýþýlmýþýn dýþýnda düþünme fýrsatlarý yaratmak, yeni bakýþ açýlarý geliþtirilmesine yardýmcý olabilir.;Baþarýsýz;FN;;;;;
Yeni projelerde riskleri nasýl deðerlendirmek gerekir?;Potansiyel engelleri ve fýrsatlarý analiz ederek, stratejik planlama ve risk yönetimi ile projelerin baþarý þansýný artýrmak mümkündür.;Baþarýsýz;FN;;;;;
Takým çalýþmasýnýn yaratýcý süreçlere katkýsý nedir?;Farklý uzmanlýk alanlarýndan gelen katkýlar ve iþbirliði, yenilikçi çözümler üretmeyi kolaylaþtýrýr.;Baþarýsýz;FN;;;;;
Baþarýya ulaþmak için baþarýsýzlýklardan nasýl ders çýkarýlýr?;Geçmiþteki hatalardan öðrenerek ve bu bilgileri gelecekteki planlamalarda kullanarak geliþmek mümkündür.;Baþarýlý;TP;;;;;
Fikirlerin uygulanabilirliðini deðerlendirmek için hangi kriterler kullanýlýr?;Pratiklik, kaynak gereksinimleri ve potansiyel etkiler gibi faktörler, yeni önerilerin ne kadar etkili olacaðýný belirleyebilir.;Baþarýsýz;FN;;;;;
Teknoloji ve yenilik arasýndaki iliþki neden kritiktir?;Yeni geliþmelerin uygulanabilirliði, teknolojik araçlarýn saðladýðý imkanlarla büyük ölçüde desteklenir.;Baþarýlý;TP;;;;;
Yaratýcý düþünmeyi destekleyen çevresel etmenler nelerdir?;Çeþitli uyarýcýlar ve destekleyici bir ortam, bireylerin yaratýcý potansiyellerini ortaya çýkarmalarýna yardýmcý olabilir.;Baþarýsýz;FN;;;;;
;Yenilikçi projeler genellikle çeþitli disiplinlerden gelen fikirlerin birleþimiyle ortaya çýkar, bu da multidisipliner bir yaklaþýmýn önemini vurgular.;Baþarýsýz;FP;;;;;
Ýnsan-robot etkileþimi nedir ve nasýl çalýþýr?;Makinelerin insan davranýþlarýný anlamasý ve uygun tepkiler vermesi, bu etkileþimin temelini oluþturur.;Baþarýlý;TP;;;;;
Robotlar iþ gücünü nasýl deðiþtirebilir?;Otomasyon, tekrarlayan görevleri ortadan kaldýrarak üretkenliði artýrýr ve insan iþ gücünün daha yaratýcý alanlara yönelmesini saðlar.;Baþarýsýz;FN;;;;;
Endüstriyel robotlar hangi sektörlerde kullanýlýr?;Otomotiv ve elektronik üretimi, bu teknolojilerin yoðun olarak kullanýldýðý alanlardandýr.;Baþarýsýz;FN;;;;;
Evde kullanýlan robot teknolojileri nelerdir?;Akýllý süpürgeler ve asistanlarý, hanemizdeki günlük iþleri kolaylaþtýrmak için yaygýn olarak kullanýlýr.;Baþarýlý;TP;;;;;
Robotlarýn saðlýk sektöründeki rolü nedir?;Cerrahi müdahalelerde hassasiyet saðlamak ve tekrarlayan görevleri otomatikleþtirmek, bu makinelerin saðlýk alanýndaki katkýlarýndandýr.;Baþarýlý;TP;;;;;
Ýnsan-robot etkileþiminde kullanýlan teknolojiler nelerdir?;Yapay zeka ve sensör teknolojileri, bu etkileþimlerin temel bileþenleridir.;Baþarýsýz;FN;;;;;
Robotlarýn insan duygularýný anlama ve tepki verme yetenekleri nelerdir?;Duygusal ifadeleri tanýyarak ve uygun tepkiler vererek, makineler insanlarla daha doðal etkileþimler kurabilir.;Baþarýlý;TP;;;;;
Robotlarýn güvenlik açýsýndan deðerlendirilmesi nasýl yapýlýr?;Kullanýldýklarý ortama göre risk analizleri ve performans testleri, güvenlik deðerlendirmelerinin temelini oluþturur.;Baþarýsýz;FN;;;;;
Robotik sistemlerin eðitime katkýlarý nelerdir?;Robot yarýþmalarý, mühendislik öðrencilerinin yenilikçi tasarýmlarýný sergilemeleri için harika bir fýrsat sunar.;Baþarýsýz;FN;;;;;
;Robotik futbol turnuvalarý, yapay zeka ve robot teknolojisinin geliþimini eðlenceli bir þekilde sergiler.;Baþarýlý;TN;;;;;
Beynin temel iþlevleri nelerdir?;Beynin temel iþlevleri hayatsal faaliyetleri yerine getirmektir.;Baþarýlý;TP;;;;;
Beyin ve davranýþ arasýndaki iliþki nasýldýr?;Beyin, sinir hücreleri arasýndaki karmaþýk iletiþim aðý sayesinde davranýþlarýmýzý düzenler.;Baþarýlý;TP;;;;;
Beyin ve hafýza arasýndaki iliþki nedir?;Bellek, sinir aðlarý tarafýndan iþlenen ve saklanan bilgidir.;Baþarýlý;TP;;;;;
Nöronlarýn yapýsý ve iþlevi nasýldýr?;Sinir hücreleri, elektriksel sinyaller aracýlýðýyla iletiþim kurar.;Baþarýlý;TP;;;;;
Beyin hastalýklarý nelerdir ve nasýl tedavi edilir?;Merkezi sinir sistemi hastalýklarýnýn tedavisi, ilaçlar ve cerrahi müdahalelerle yapýlabilir.;Baþarýlý;TP;;;;;
Nörobilim alanýnda yapýlan son keþifler nelerdir?;Nörobilim alanýnda yapýlan son keþifler arasýnda, beyin dalgalarýnýn yapay zeka ile analiz edilerek düþüncelerin okunmasý ve duygusal durumlarýn tespit edilmesi bulunmaktadýr.;Baþarýlý;TP;;;;;
Beyin saðlýðýný korumanýn yollarý nelerdir?;Beyin saðlýðýný korumanýn yollarý arasýnda düzenli egzersiz yapmak, dengeli beslenmek, yeterli uyku almak, zihinsel aktivitelerde bulunmak ve stresi yönetmek yer almaktadýr.;Baþarýlý;TP;;;;;
Bilinç ve bilinçaltý nasýl çalýþýr?;Bilinçaltý, farkýnda olmadan yapýlan eylemleri ve düþünceleri yönetir.;Baþarýlý;TP;;;;;
Beyindeki kimyasal ileticilerin (nörotransmitterler) rolü nedir?;Beyindeki kimyasal haberciler, sinir hücreleri arasýnda iletiþim saðlar.;Baþarýlý;TP;;;;;
;Beyin-göçü, yetenekli bilim insanlarýnýn baþka ülkelere göç etmesiyle oluþan durumu ifade eder.;Baþarýlý;TN;;;;;
Amerika Birleþik Devletleri'ni þekillendiren önemli tarihsel olaylar nelerdir?;Baþlýca dönemler arasýnda Amerikan Devrimi (1775-1783), Baðýmsýzlýk Bildirgesi'nin imzalanmasý (1776), Ýç Savaþ (1861-1865), Sivil Haklar Hareketi (1950'ler-1960'lar) ve büyük çatýþmalar yer alýr. Dünya Savaþý. Birinci ve Ýkinci Dünya Savaþý. Bu olaylarýn her biri ülkenin kalkýnmasýný ve politikalarýný önemli ölçüde etkiledi.;Baþarýlý;TP;;;;;
Amerika Birleþik Devletleri hükümet sistemi nasýl çalýþýyor? ;Federal yapý, yürütme, yasama ve yargý olmak üzere üç ana kuvvetten oluþur ve bu kuvvetler arasýndaki denge ve kontrol mekanizmalarýyla iþler.;Baþarýlý;TP;;;;;
Amerika Birleþik Devletleri'ndeki ana ekonomik sektörler nelerdir? ;Ülkede teknoloji, saðlýk, finans, enerji ve tarým gibi sektörler ekonomide baþlýca yer tutmaktadýr.;Baþarýlý;TP;;;;;
Amerika Birleþik Devletleri'ndeki kültürel çeþitlilik nasýldýr? ;Ülke, farklý etnik kökenlerden ve kültürel geçmiþlerden gelen insanlarýn bir arada yaþadýðý, çok çeþitli bir yapýya sahiptir.;Baþarýlý;TP;;;;;
Amerika Birleþik Devletleri'ndeki eðitim sistemi nasýl iþliyor?;Eðitim sistemi, anaokulundan üniversiteye kadar çeþitli seviyelerdeki okullarla, kamu ve özel kurumlar aracýlýðýyla geniþ bir eðitim yelpazesi sunar.;Baþarýlý;TP;;;;;
Amerika Birleþik Devletleri'ndeki bazý önemli simge yapýlar ve ilgi çekici yerler nelerdir?;Baþlýca turistik yerler arasýnda Özgürlük Anýtý, Büyük Kanyon, Rushmore Daðý, Beyaz Saray, Disneyland ve milli parklar yer alýr. Bu alanlar her yýl milyonlarca turistin ilgisini çekmektedir ve ülkenin mirasý ve kimliði açýsýndan önemlidir.;Baþarýlý;TP;;;;;
Amerika Birleþik Devletleri küresel kültürü ve siyaseti nasýl etkiledi?;Amerika Birleþik Devletleri dünyanýn süper gücü olarak biliniyor. Ortadoðu, Güney Amerika ve Avrupa baþta olmak üzere birçok ülkede söz sahibidir. Ayrýca birçok Amerikan hareketi filmler, diziler ve sosyal medya aracýlýðýyla dünyaya yayýlmýþtýr.;Baþarýlý;TP;;;;;
Amerika Birleþik Devletleri'ndeki mevcut baþlýca sosyal ve politik sorunlar nelerdir?;Ülkede, saðlýk hizmetlerine eriþim, ýrksal eþitlik, göç politikalarý ve iklim deðiþikliði gibi konular önemli tartýþma baþlýklarýdýr.;Baþarýsýz;FN;;;;;
Amerika Birleþik Devletleri'nde saðlýk hizmetleri sistemi nasýl çalýþýyor? ;Ülkedeki saðlýk hizmetleri sistemi, kamu ve özel sigorta programlarý aracýlýðýyla finanse edilen, çeþitli saðlýk hizmeti saðlayýcýlarýnýn bulunduðu karmaþýk bir yapýya sahiptir. Bu sistemde hem devlet destekli programlar hem de özel sigorta þirketleri aracýlýðýyla saðlýk hizmetlerine eriþim saðlanýr.;Baþarýlý;TP;;;;;
;Amerika Birleþik Devletleri futbolda, basketbol ve beyzbolla karþýlaþtýrýldýðýnda çok geride.;Baþarýlý;TN;;;;;
Sosyal medyanýn tarihçesi nedir?;Ýlk olarak internet forumlarý ve bloglarla baþlayan süreç, 2000'li yýllarýn baþýnda Facebook ve Twitter gibi platformlarýn ortaya çýkmasýyla hýz kazandý.;Baþarýlý;TP;;;;;
Günümüzün en popüler sosyal medya platformlarý nelerdir ve temel özellikleri nelerdir?;Facebook, Twitter, Instagram ve TikTok en ünlü kitle iletiþim uygulamalarýdýr.;Baþarýlý;TP;;;;;
Sosyal medya ruh saðlýðýný nasýl etkiliyor?;Sosyal medya insanlarýn baðlantýda kalmasýna ve destek bulmasýna yardýmcý olabilir, ancak ayný zamanda idealleþtirilmiþ görüntülere ve yaþam tarzlarýna sürekli maruz kalma nedeniyle kaygý, depresyon ve yetersizlik duygularýna da katkýda bulunabilir. Etki, bireylerin sosyal medyayý nasýl kullandýklarýna ve kiþisel koþullarýna baðlý olarak deðiþmektedir.;Baþarýlý;TP;;;;;
Sosyal medyanýn modern pazarlama stratejilerinde rolü nedir? ;Ýþletmeler, geniþ kitlelere ulaþmak ve marka bilinirliðini artýrmak için bu dijital kanallarý kullanarak hedef kitlelerine daha etkili bir þekilde ulaþmaktadýr.;Baþarýlý;TP;;;;;
Bireyler sosyal medyada mahremiyetlerini nasýl koruyabilirler? ;Kullanýcýlar, gizlilik ayarlarýný dikkatli bir þekilde düzenleyerek ve paylaþýmlarýný sýnýrlayarak kiþisel bilgilerinin yayýlmasýný kontrol altýnda tutabilirler.;Baþarýlý;TP;;;;;
Sosyal medya kullanýmýyla ilgili etik kaygýlar nelerdir?;Yanlýþ bilgi yayýlmasý, siber zorbalýk ve dijital platformlar üzerindeki etik sorunlarýn baþlýca endiþe kaynaklarýdýr. Bu durumlar, kullanýcýlarýn güvenliðini ve toplumun genel refahýný tehlikeye atabilir.;Baþarýlý;TP;;;;;
Sosyal medya siyasi hareketleri ve toplumsal deðiþimi nasýl etkiledi? ;Sosyal medya, Black Livesmatter ve Arap Baharý gibi toplumsal hareketlerde ve insanlarýn oy tercihlerinde etkilidir.;Baþarýlý;TP;;;;;
Gençler için sosyal medyanýn potansiyel riskleri nelerdir?;Siber zorbalýk, düþük özgüven, uyku problemleri ve dikkat daðýnýklýðý, gençlerin dijital platformlarda karþýlaþabileceði önemli tehlikeler arasýndadýr. Bu olumsuz etkiler, hem psikolojik hem de fiziksel saðlýk üzerinde olumsuz sonuçlar doðurabilir.;Baþarýsýz;FN;;;;;
Algoritmalar sosyal medyada gördüðümüz içeriði nasýl etkiliyor? ;Dijital platformlarda kullanýlan algoritmalar, kullanýcýlarýn ilgi alanlarýna ve etkileþimlerine göre içerik önerileri sunarak, her bireye özel bir deneyim yaratýr. Bu sistemler, kullanýcýlarýn en çok etkileþimde bulunduðu içerikleri öne çýkararak görünürlüðü artýrýr.;Baþarýlý;TP;;;;;
;Yaþlý insanlar sosyal medyayý kullanma ve uyum saðlama konusunda zorluklar yaþýyor.;Baþarýsýz;FP;;;;;
Çiçeklerin biyolojik iþlevleri nelerdir?;Bitkilerin üreme organlarý olarak görev yapan yapýlar, tohum oluþumunda rol oynar.;Baþarýsýz;FN;;;;;
Çiçeklerin evrimsel geliþimi nasýldýr?;Zamanla þekil ve yapý deðiþiklikleri, bitkilerin hayvanlarla simbiyotik iliþkiler kurmasýna yol açmýþtýr.;Baþarýsýz;FN;;;;;
Çiçeklerin renkleri ve kokularý ne iþe yarar?;Yeþil terapi olarak da bilinen uygulamalarda kullanýlan bitkiler, stres azaltýcý ve duygusal iyileþtirici özellikler taþýr.;Baþarýlý;TP;;;;;
Çiçeklerin saðlýk ve psikolojik faydalarý nelerdir?;Polen taþýma ve besin zincirinde kritik rol oynayan bitkiler, ekosistemin devamlýlýðýna katkýda bulunur.;Baþarýsýz;FN;;;;;
Çiçeklerin ticari üretimi ve ekonomiye katkýlarý nelerdir?;Çiçekler, kalýtsal materyallerin deðiþimi sayesinde yeni türlerin oluþmasýna katký saðlar.;Baþarýlý;TP;;;;;
Çiçeklerin kültürel ve tarihi önemi nedir?;Tarih boyunca bitkiler, dini törenlerden sanata kadar birçok kültürel etkinlikte önemli bir rol oynamýþtýr.;Baþarýsýz;FN;;;;;
Endemik çiçek türleri nelerdir ve neden önemlidir?;Kesme çiçekçilik ve süs bitkisi sektörü, büyük bir ekonomik deðer yaratýr.;Baþarýlý;TP;;;;;
Çiçekler ve biyolojik çeþitlilik arasýndaki iliþki nedir?;Bahar aylarýnda açan renkli çiçekler, park ve bahçelere canlýlýk katar.;Baþarýlý;TN;;;;;
Çiçeklerin genetik çeþitliliðe katkýlarý nelerdir?;Canlý renkler ve çekici aromalar, polen taþýyýcýlarýný cezbetmek için evrimleþmiþtir.;Baþarýlý;TP;;;;;
;Çiçekler, botanik bahçelerinde sergilenerek ziyaretçilere görsel bir þölen sunar.;Baþarýlý;TN;;;;;
Genetik mühendisliði nedir?;Yaþamýn temel yapý taþlarýný manipüle ederek canlýlarýn özelliklerini deðiþtirme süreci olarak tanýmlanabilir.;Baþarýlý;TP;;;;;
Genetik mühendisliðinin tarýmda kullanýmý nasýl bir etki yaratabilir?;Ürünlerin verimliliði ve dayanýklýlýðý artabilir. Zararlýlara karþý direnç geliþtirilmesi ve besin kalitesinin artýrýlmasý saðlanabilir.;Baþarýsýz;FN;;;;;
Genetik mühendisliði ile hastalýklarýn tedavi edilmesi mümkün mü?;Genetik materyalde yapýlan deðiþiklikler, bazý hastalýklarýn tedavisinde kullanýlabilir.;Baþarýlý;TP;;;;;
CRISPR-Cas9 teknolojisi nasýl çalýþýr ve potansiyel uygulamalarý nelerdir?;Belli DNA dizilerini hedef alarak kesme ve yeniden düzenleme iþlemi yapar. Genetik hastalýklarýn tedavisi ve tarýmsal ürünlerin geliþtirilmesi gibi alanlarda kullanýlabilir.;Baþarýlý;TP;;;;;
Genetik olarak deðiþtirilmiþ organizmalarýn (GDO) çevresel etkileri nelerdir?;Doðal ekosistemlerin dengesinin bozulmasýna neden olabilir. Bazý türlerin yayýlmasý ve diðerlerinin azalmasý gibi deðiþiklikler gözlemlenebilir.;Baþarýsýz;FN;;;;;
Genetik mühendisliðinin etik ve sosyal boyutlarý nelerdir?;Ýnsan haklarý, doða ve toplum üzerinde derin etkiler yaratabilir.;Baþarýsýz;FN;;;;;
Ýnsan genom projesi nedir ve genetik mühendisliði ile nasýl iliþkilidir?;Ýnsanlarýn genetik yapýsýný haritalandýran büyük bir araþtýrma projesidir. Genetik mühendislik çalýþmalarýna temel oluþturur ve ileri araþtýrmalara kapý açar.;Baþarýlý;TP;;;;;
Genetik mühendisliðinin gelecekteki potansiyel riskleri ve tehlikeleri nelerdir?;Biyolojik çeþitliliðin azalmasý gibi olumsuz sonuçlar doðurabilir.;Baþarýsýz;FN;;;;;
Genetik mühendisliði ile bireylerin fiziksel özelliklerinin deðiþtirilmesi mümkün mü?;Genetik teknikler ile göz rengi, boy, kas kütlesi gibi özellikler üzerinde deðiþiklikler saðlanabilir.;Baþarýlý;TP;;;;;
;Deniz ekosistemlerinin korunmasý, biyolojik çeþitliliðin sürdürülebilirliði açýsýndan kritik öneme sahiptir.;Baþarýlý;TN;;;;;
Büyük veri nedir?;Devasa veri kümeleri, dijital çaðda iþlenen büyük miktarda bilgiyi ifade eder.;Baþarýlý;TP;;;;;
Büyük veri'nin temel özellikleri nelerdir?;Bu veri türü, hacim, çeþitlilik ve hýz gibi özelliklere sahip olmasýyla bilinir.;Baþarýlý;TP;;;;;
Büyük veri'nin kaynaklarý nelerdir?;Farklý kaynaklardan elde edilen bu veriler, sosyal medya platformlarý, sensörler ve internet gibi çeþitli kanallardan gelir.;Baþarýlý;TP;;;;;
Büyük veri analizinde kullanýlan teknikler nelerdir?;Karmaþýk algoritmalar ve yapay zeka, bu veri türünün analizinde sýklýkla kullanýlýr.;Baþarýlý;TP;;;;;
Büyük veri'nin iþ dünyasýndaki önemi nedir?;Ýþletmeler, bu veri kümelerini kullanarak müþteri davranýþlarýný analiz eder ve stratejilerini geliþtirir.;Baþarýlý;TP;;;;;
Büyük veri'nin saðlýk sektöründeki uygulamalarý nelerdir?;Saðlýk alanýnda, bu tür veriler hastalýklarýn erken teþhisi ve tedavisinde kullanýlýr.;Baþarýlý;TP;;;;;
Büyük veri'nin sosyal medyadaki rolü nedir?;Sosyal aðlarda, kullanýcý davranýþlarýný analiz ederek reklam hedeflemeyi optimize eder.;Baþarýlý;TP;;;;;
Büyük veri'nin güvenlik ve gizlilik sorunlarý nelerdir?;Veri güvenliði ve mahremiyet, bu büyük bilgi yýðýnlarýnýn yönetiminde kritik konular arasýndadýr;Baþarýlý;TP;;;;;
